PE,Company,Primary Industry Sector,Year Founded,Revenue,Gross Profit,Net Income,EBITDA,EBIT,Total Debt,Fiscal Year,Valuation/Ebitda,Valuation/EBIT,Valuation/Net Income,Valuation/Revenue,Valuation / Cash Flow,Deal Size/EBITDA,Deal Size/EBIT,Deal Size/Net Income,Deal Size/Revenue,Deal Size/Cash Flow,EBITDA Margin %,Employees,Total Invested Equity,CEO Pbid,CEO,Deal Date,Deal Size,Deal Year
0,CEA Industries,Business Products and Services (B2B),2006,0.00,,-0.11,,,,2011,,,-15.59,,28.13,,,-1.42,,2.56,,,0.15,,,Mar-11,0.15,2011
0,Byrna Technologies,Business Products and Services (B2B),2005,0.00,,-2.55,-2.33,-2.37,0.52,2013,,,,,,-1.64,-1.62,-1.51,,1.54,,,3.83,17251.2-37P,Rakesh Malhotra,Sep-13,3.83,2013
0,MassRoots,Business Products and Services (B2B),2013,,,-2.44,-2.43,-2.43,1.10,2014,,,,,,-2.08,-2.08,-2.07,558.14,82.02,-26866.30%,,5.04,6.3864-19P,Isaac Dietrich,Mar-15,5.04,2015
0,NV5,Business Products and Services (B2B),1947,60.58,31.67,1.29,3.83,2.36,7.39,2012,6.27,10.18,18.56,0.40,-51.28,2.20,3.56,6.50,0.14,-17.95,6.31%,,8.40,6269149p,Dickerson Wright,Mar-13,8.40,2013
0,Clearsign Technologies,Business Products and Services (B2B),2008,0.00,,-2.95,-3.81,-3.84,0.04,2012,-8.57,-8.49,-11.07,,131.10,-3.15,-3.12,-4.07,,48.21,,,12.00,19023.2-1IP,Richard Rutkowski,Apr-12,12.00,2012
0,ASV,Business Products and Services (B2B),1983,103.34,16.64,-0.68,8.69,3.89,42.72,2017,7.90,17.66,-100.59,0.66,126.57,3.06,6.85,-39.00,0.26,49.08,8.41%,153,12.60,1648.2-88P,Andrew Rooke,May-17,26.60,2017
0,Ideal Power,Business Products and Services (B2B),2007,2.15,-0.20,-8.35,-3.85,-3.88,5.88,2013,-8.05,-7.98,-3.71,14.40,152.81,-3.89,-3.86,1.80,6.96,73.94,-178.87%,10,13.73,54184-96P,Christopher Cobb,Nov-13,15.00,2013
0,Peerless Manufacturing,Business Products and Services (B2B),1933,131.10,45.08,-5.30,4.68,0.92,31.18,2010,35.71,182.32,-31.54,1.28,12.39,3.19,16.30,-2.82,,,3.57%,,14.05,16187-50P,Peter Burlage,Feb-10,14.95,2010
0,Polar Power,Business Products and Services (B2B),1979,18.00,7.18,2.53,4.59,4.41,1.88,2016,14.92,15.53,27.09,3.81,538.40,3.66,3.81,6.65,0.93,132.08,25.50%,,16.80,10526.2-21P,Arthur Sams,Dec-16,16.80,2016
0,American Resources,Business Products and Services (B2B),2006,0.00,,-0.09,-0.09,-0.09,0.00,2014,-762.40,-762.40,-762.40,,1973.34,-337.34,-337.34,-337.34,,873.16,,,30.00,,,Jun-14,30.00,2014
0,SPS Commerce,Business Products and Services (B2B),1987,39.46,27.60,2.13,3.85,2.51,2.63,2010,34.03,52.29,61.38,3.32,77.87,12.77,19.62,23.03,1.25,29.21,9.76%,,30.00,4550.2-48P,Archie Black,Apr-10,49.16,2010
0,Aqua Metals,Business Products and Services (B2B),2014,0.00,,-12.33,-11.03,-11.23,9.27,2015,-6.09,-5.98,-5.44,,4.30,-2.99,-2.94,-2.68,,2.11,,,30.48,1083.36-25P,Stephen Clarke,Jul-15,33.00,2015
0,SoundThinking,Business Products and Services (B2B),1996,17.02,7.00,-6.26,-2.23,-4.88,13.07,2017,-44.85,-20.54,-16.01,5.89,-354.21,-13.78,-6.31,-4.92,,-108.83,-13.13%,70,30.80,38063-80P,Ralph Clark,Jun-17,30.80,2017
0,Aratana Therapeutics,Business Products and Services (B2B),2010,0.00,,-15.05,-12.67,-12.68,4.93,2013,-9.41,-9.40,-7.92,,15.86,-2.72,-2.72,-2.29,,4.59,,16,32.09,1.3621-24P,Steven St. Peter,Jun-13,34.50,2013
0,TubeMogul,Business Products and Services (B2B),2006,85.73,58.39,-1.58,-0.69,1.23,14.33,2014,-291.44,-163.92,-126.77,2.34,-95.17,-63.50,-35.71,-27.62,,-20.73,-0.80%,,40.69,.30758-95P,Brett Wilson,Jul-14,43.75,2014
0,ReachLocal,Business Products and Services (B2B),2003,224.01,100.77,-0.24,13.45,9.54,,2010,26.23,36.99,-1445.89,1.57,-42.71,4.03,5.68,-221.99,0.24,-6.56,6.00%,866,43.11,3.7113-04P,Zorik Gordon,May-10,54.17,2010
