PE,Company,Primary Industry Sector,Year Founded,Revenue,Gross Profit,Net Income,EBITDA,EBIT,Total Debt,Fiscal Year,Valuation/Ebitda,Valuation/EBIT,Valuation/Net Income,Valuation/Revenue,Valuation / Cash Flow,Deal Size/EBITDA,Deal Size/EBIT,Deal Size/Net Income,Deal Size/Revenue,Deal Size/Cash Flow,EBITDA Margin %,Employees,Total Invested Equity,CEO Pbid,CEO,Deal Date,Deal Size,Deal Year
0,Co-Diagnostics,Healthcare,,,0.01,-2.54,-2.07,-2.1,3.44,2017,-32.12,-31.57,-26.17,26912.23,575.6,-3.42,-3.36,-2.79,2867.47,61.33,-83784.02%,14,7.07,153474-40p,Dwight Egan,17-Jul,7.07,2017
0,Tocagen,Healthcare,2007,0.05,,-34.54,-32.31,-32.57,26.8,2017,-5.73,-5.68,-5.36,4022.12,85.97,-2.63,-2.61,-2.46,1847.83,39.5,-70239.13%,,85,55613.-26P,Martin Duvall,17-Apr,85,2017
0,NantKwest,Healthcare,2002,0.44,,-167.37,-166.54,-167.46,0,2015,-11.85,-11.78,-11.79,446446,16.95,1.24,1.24,1.24,468.78,1.78,-37678.05%,,196.58,40725-73P,Patrick Soon-Shiong,15-Jul,207.2,2015
0,T2 Biosystems,Healthcare,2006,0.15,,-32.87,-24.28,-24.88,4.18,2014,-8.7,-8.49,-6.42,1446.35,-8.55,-2.36,-2.3,-1.74,391.78,-2.32,-16629.45%,68,53.2,3.6206-74P,lohn McDonough,14-Aug,57.2,2014
0,Trevena,Healthcare,2007,0.13,,-23.59,-2.44,-23.1,0,2013,-8.04,7.8,-7.64,1334.57,5.77,-2.89,-2.8,-2.75,479.7,2.07,-16591.93%,,60.22,3.6075-97P,Maxine Gowen,14-Jan,64.75,2014
0,Ocular Therapeutix,Healthcare,2006,0.12,,-20.45,-19.49,-19.95,14.68,2014,-13.72,-13.4,-13.08,2156.48,-52.58,-3.34,-3.26,-3.18,524.19,-12.78,-15716.13%,58,65,3.6299-98P,Amarpreet Sawhney,14-Jul,65,2014
0,Jaguar Health,Healthcare,2013,0.06,0.03,-11.33,-9.32,-9.32,2.7,2015,-6.1,-6.1,-5.01,911.08,-16.23,-2.15,-2.15,1.77,320.9,-5.72,-14932.24%,,20.02,44600-05P,Lisa Conte,15-May,20.02,2015
0,WaVe Life Sciences,Healthcare,2012,0.15,,-13.85,-13.14,-13.69,0.16,2015,-25.49,-24.47,-24.18,2203.5,5.25,-7.76,-7.45,-7.36,671.05,1.6,-8644.74%,,102,9.2136-16P,Paul Bolno,15-Nov,102,2015
0,Adverum Biotechnologies,Healthcare,2006,0.17,,-14.49,-11.16,-110.2,0.56,2014,-32.55,-32.4,-25.05,2200.45,6.95,-9.14,-9.1,-7.04,618.18,1.95,-6761.21%,,102,57399-94P,Thomas Chalberg,14-Jul,102,2014
0,Blueprint Medicines,Healthcare,2008,0.65,,-51.62,-43.59,-44.28,8.65,2015,-10.67,-10.5,-9.01,713.15,15.48,-3.36,-3.31,-2.84,224.88,4.88,-6685.28%,,146.63,4739.2-39P,Jeffrey Albers,15-Apr,146.63,2015
